id,person_id,risk_score,risk_level,risk_factors,total_monetary_amount,average_case_value,financial_risk_level,primary_subject_matter,subject_matter_categories,legal_issues,financial_terms,case_complexity_score,success_rate,last_updated,created_at
17,39225,34,Medium,"['fraud', 'property', 'land', 'real estate', 'ownership']",14033.00,255.15,Medium,Property Dispute,"['Contract Dispute', 'Property Dispute', 'Fraud', 'Commercial']","['property dispute', 'fraud']",['damages'],2,0.00,2025-09-15 08:48:56+00:00,2025-09-15 08:48:56+00:00
18,39226,18,Low,"['family', 'property', 'land', 'boundary', 'ownership']",3376.00,93.78,Low,Property Dispute,"['Contract Dispute', 'Property Dispute', 'Commercial', 'Employment', 'Administrative']",['property dispute'],"['damages', 'settlement']",2,100.00,2025-09-15 08:48:57+00:00,2025-09-15 08:48:57+00:00
19,39228,0,Low,[],3596.00,60.95,Low,Administrative,"['Property Dispute', 'Administrative']",[],[],5,100.00,2025-09-15 08:48:57+00:00,2025-09-15 08:48:57+00:00
20,39231,39,Medium,"['criminal', 'breach', 'commercial', 'family', 'land']",39692.00,79.23,Medium,Property Dispute,"['Contract Dispute', 'Property Dispute', 'Commercial', 'Employment', 'Constitutional', 'Administrative']",[],"['loss', 'payment', 'fine', 'compensation', 'settlement']",10,100.00,2025-09-15 08:48:57+00:00,2025-09-15 08:48:57+00:00
21,39232,12,Low,"['property', 'land', 'ownership']",524336.00,5041.69,High,Property Dispute,"['Contract Dispute', 'Property Dispute', 'Commercial', 'Employment', 'Administrative']",['property dispute'],"['refund', 'damages', 'fine']",7,100.00,2025-09-15 08:48:57+00:00,2025-09-15 08:48:57+00:00
22,39233,0,Low,[],3754.00,121.10,Low,Constitutional,['Constitutional'],[],['settlement'],2,100.00,2025-09-15 08:48:57+00:00,2025-09-15 08:48:57+00:00
23,39235,31,Medium,"['fraud', 'breach', 'family', 'property', 'land']",24059.00,82.96,Medium,Property Dispute,"['Contract Dispute', 'Property Dispute', 'Fraud', 'Employment', 'Administrative']","['property dispute', 'fraud']","['mortgage', 'damages', 'fine']",8,100.00,2025-09-15 08:48:58+00:00,2025-09-15 08:48:58+00:00
24,39236,16,Low,"['contract', 'breach', 'business', 'commercial', 'real estate']",113493.00,1956.78,High,Contract Dispute,"['Contract Dispute', 'Property Dispute', 'Commercial', 'Employment', 'Tort']","['negligence', 'breach of contract']","['debt', 'payment', 'damages']",2,100.00,2025-09-15 08:48:58+00:00,2025-09-15 08:48:58+00:00
25,39237,22,Medium,"['fraud', 'land']",16514.00,75.06,Medium,Property Dispute,"['Property Dispute', 'Fraud', 'Commercial']",['fraud'],[],5,100.00,2025-09-15 08:48:58+00:00,2025-09-15 08:48:58+00:00
26,39238,12,Low,"['contract', 'breach', 'business', 'commercial']",20298.60,211.44,Medium,Contract Dispute,"['Contract Dispute', 'Property Dispute', 'Commercial', 'Employment', 'Administrative']",['breach of contract'],"['debt', 'payment', 'damages']",4,100.00,2025-09-15 08:48:58+00:00,2025-09-15 08:48:58+00:00
27,39239,14,Low,"['family', 'property', 'land', 'ownership']",17466.00,72.47,Medium,Property Dispute,"['Property Dispute', 'Family Law', 'Employment']",['property dispute'],['fine'],7,100.00,2025-09-15 08:48:58+00:00,2025-09-15 08:48:58+00:00
28,39241,12,Low,"['property', 'land', 'boundary']",13186.00,96.25,Medium,Property Dispute,"['Contract Dispute', 'Property Dispute', 'Employment']",['property dispute'],['settlement'],7,100.00,2025-09-15 08:48:59+00:00,2025-09-15 08:48:59+00:00
29,39242,24,Medium,"['fraud', 'family', 'property']",8320.78,90.44,Low,Property Dispute,"['Property Dispute', 'Fraud']",['fraud'],"['loss', 'profit', 'payment']",5,100.00,2025-09-15 08:48:59+00:00,2025-09-15 08:48:59+00:00
30,39243,27,Medium,"['criminal', 'contract', 'breach', 'business', 'property', 'land']",141643.00,1445.34,High,Contract Dispute,"['Contract Dispute', 'Property Dispute', 'Commercial', 'Employment', 'Administrative']",['breach of contract'],"['refund', 'loss', 'payment', 'damages', 'profit']",5,100.00,2025-09-15 08:48:59+00:00,2025-09-15 08:48:59+00:00
31,39244,10,Low,"['family', 'property', 'land']",5806.00,98.41,Low,Property Dispute,"['Contract Dispute', 'Property Dispute']",['property dispute'],"['damages', 'fine']",7,100.00,2025-09-15 08:48:59+00:00,2025-09-15 08:48:59+00:00
32,39247,20,Medium,"['criminal', 'contract', 'commercial', 'property']",16381.26,120.45,Medium,Contract Dispute,"['Contract Dispute', 'Property Dispute', 'Commercial', 'Employment', 'Constitutional', 'Administrative']","['human rights', 'wrongful dismissal']","['loss', 'damages', 'compensation', 'fine']",7,100.00,2025-09-15 08:48:59+00:00,2025-09-15 08:48:59+00:00
33,39249,14,Low,"['contract', 'business', 'property', 'land']",30226.55,70.29,Medium,Property Dispute,"['Contract Dispute', 'Property Dispute', 'Commercial', 'Employment', 'Constitutional', 'Administrative']",[],['payment'],6,0.00,2025-09-15 08:49:00+00:00,2025-09-15 08:49:00+00:00
34,39250,40,Medium,"['criminal', 'fraud', 'contract', 'commercial', 'divorce', 'land']",20267.00,84.10,Medium,Contract Dispute,"['Contract Dispute', 'Property Dispute', 'Fraud', 'Family Law', 'Employment', 'Constitutional', 'Administrative']",['fraud'],"['loss', 'settlement']",10,100.00,2025-09-15 08:49:00+00:00,2025-09-15 08:49:00+00:00
35,39251,15,Low,"['contract', 'divorce', 'family', 'property', 'land']",320866.00,1725.09,High,Property Dispute,"['Contract Dispute', 'Property Dispute', 'Family Law', 'Commercial']",[],"['payment', 'settlement']",5,100.00,2025-09-15 08:49:00+00:00,2025-09-15 08:49:00+00:00
36,39253,37,Medium,"['fraud', 'breach', 'custody', 'family', 'property', 'land', 'ownership']",35498.00,110.59,Medium,Property Dispute,"['Contract Dispute', 'Property Dispute', 'Fraud', 'Commercial', 'Employment', 'Constitutional']",['fraud'],"['damages', 'settlement']",7,100.00,2025-09-15 08:49:00+00:00,2025-09-15 08:49:00+00:00
37,39254,16,Low,"['criminal', 'family', 'land']",37054.00,118.38,Medium,Property Dispute,"['Property Dispute', 'Employment', 'Constitutional', 'Administrative']",[],"['loss', 'fine']",5,100.00,2025-09-15 08:49:00+00:00,2025-09-15 08:49:00+00:00
38,39257,29,Medium,"['criminal', 'robbery', 'business', 'family', 'land']",15525.00,201.62,Medium,Tort,"['Contract Dispute', 'Property Dispute', 'Family Law', 'Criminal', 'Commercial', 'Employment', 'Tort']","['defamation', 'negligence']","['debt', 'damages']",5,100.00,2025-09-15 08:49:01+00:00,2025-09-15 08:49:01+00:00
39,39259,96,High,"['assault', 'breach', 'family', 'property', 'land']",44142.00,69.62,Medium,Property Dispute,"['Contract Dispute', 'Property Dispute', 'Criminal', 'Employment', 'Administrative']",[],"['loss', 'damages', 'settlement']",10,100.00,2025-09-15 08:49:01+00:00,2025-09-15 08:49:01+00:00
40,39260,36,Medium,"['fraud', 'misappropriation', 'contract', 'breach', 'commercial', 'custody']",726210.30,3458.14,High,Contract Dispute,"['Contract Dispute', 'Property Dispute', 'Fraud', 'Commercial', 'Employment', 'Tort', 'Constitutional', 'Administrative']","['human rights', 'negligence', 'fraud', 'wrongful dismissal']","['refund', 'loss', 'payment', 'damages', 'fine']",9,100.00,2025-09-15 08:49:01+00:00,2025-09-15 08:49:01+00:00
41,39261,28,Medium,"['commercial', 'divorce', 'custody', 'property', 'land', 'contract']",9674.00,116.55,Low,Property Dispute,"['Contract Dispute', 'Property Dispute', 'Family Law', 'Employment', 'Constitutional']",['property dispute'],"['refund', 'fine', 'mortgage', 'compensation', 'settlement']",4,0.00,2025-09-15 08:49:01+00:00,2025-09-15 08:49:01+00:00
42,39262,118,High,"['criminal', 'fraud', 'money laundering', 'breach', 'contract', 'commercial', 'property']",620753.20,2387.51,High,Property Dispute,"['Contract Dispute', 'Property Dispute', 'Fraud', 'Employment', 'Administrative', 'Constitutional', 'Commercial']","['human rights', 'fraud']","['loss', 'restitution', 'fine', 'debt', 'penalty', 'compensation']",10,100.00,2025-09-15 08:49:01+00:00,2025-09-15 08:49:01+00:00
43,39263,44,Medium,"['theft', 'contract', 'breach', 'domestic', 'land']",164249.00,1766.12,High,Contract Dispute,"['Contract Dispute', 'Property Dispute', 'Criminal', 'Employment']",[],"['refund', 'payment']",10,0.00,2025-09-15 08:49:01+00:00,2025-09-15 08:49:01+00:00
44,39264,39,Medium,"['fraud', 'embezzlement', 'contract', 'breach', 'commercial', 'land']",225705.46,1763.32,High,Contract Dispute,"['Contract Dispute', 'Property Dispute', 'Fraud', 'Commercial', 'Employment', 'Tort']","['negligence', 'fraud', 'wrongful dismissal']","['debt', 'payment', 'damages']",5,0.00,2025-09-15 08:49:02+00:00,2025-09-15 08:49:02+00:00
45,39267,42,Medium,"['criminal', 'fraud', 'family', 'property', 'land', 'ownership']",16419.00,77.82,Medium,Property Dispute,"['Contract Dispute', 'Property Dispute', 'Fraud', 'Commercial']","['property dispute', 'fraud']",['damages'],5,100.00,2025-09-15 08:49:02+00:00,2025-09-15 08:49:02+00:00
46,39268,7,Low,"['contract', 'divorce', 'family']",6304.00,65.67,Low,Family Law,"['Contract Dispute', 'Property Dispute', 'Family Law', 'Administrative']",['family law'],[],5,100.00,2025-09-15 08:49:02+00:00,2025-09-15 08:49:02+00:00
47,39269,24,Medium,"['family', 'land', 'breach']",18021.00,88.34,Medium,Constitutional,"['Property Dispute', 'Constitutional', 'Administrative', 'Contract Dispute']","['human rights', 'constitutional rights']","['payment', 'fine']",10,0.00,2025-09-15 08:49:02+00:00,2025-09-15 08:49:02+00:00
48,39273,13,Low,"['breach', 'family', 'property', 'land']",69336.00,173.34,Medium,Property Dispute,"['Contract Dispute', 'Property Dispute', 'Commercial', 'Employment', 'Constitutional', 'Administrative']",['property dispute'],[],10,100.00,2025-09-15 08:49:03+00:00,2025-09-15 08:49:03+00:00
49,39274,0,Low,[],27570.00,84.57,Medium,Property Dispute,"['Property Dispute', 'Employment', 'Tort', 'Constitutional', 'Administrative']",['negligence'],[],10,100.00,2025-09-15 08:49:03+00:00,2025-09-15 08:49:03+00:00
50,39275,16,Low,"['business', 'commercial', 'family', 'property', 'land']",21366.00,111.86,Medium,Property Dispute,"['Contract Dispute', 'Property Dispute', 'Commercial', 'Employment', 'Constitutional']",[],"['loss', 'damages']",9,100.00,2025-09-15 08:49:03+00:00,2025-09-15 08:49:03+00:00
51,39279,18,Low,"['family', 'property', 'land', 'boundary', 'ownership']",24222.00,91.06,Medium,Property Dispute,"['Contract Dispute', 'Property Dispute', 'Employment', 'Administrative']",[],"['refund', 'damages', 'fine']",5,100.00,2025-09-15 08:49:03+00:00,2025-09-15 08:49:03+00:00
52,39280,10,Low,"['contract', 'breach', 'land']",31956.66,165.58,Medium,Contract Dispute,"['Contract Dispute', 'Property Dispute', 'Commercial', 'Employment', 'Constitutional']","['breach of contract', 'wrongful dismissal']","['loss', 'payment', 'damages', 'fine', 'compensation']",5,100.00,2025-09-15 08:49:04+00:00,2025-09-15 08:49:04+00:00
53,39281,2,Low,['custody'],83984.00,656.13,Medium,Family Law,"['Family Law', 'Employment']",[],"['payment', 'settlement']",2,100.00,2025-09-15 08:49:04+00:00,2025-09-15 08:49:04+00:00
54,39283,12,Low,"['criminal', 'family']",12728.00,91.57,Medium,Property Dispute,"['Property Dispute', 'Constitutional', 'Administrative']",[],"['fine', 'settlement']",5,100.00,2025-09-15 08:49:04+00:00,2025-09-15 08:49:04+00:00
55,39284,18,Low,"['family', 'property', 'land', 'boundary', 'ownership']",4282.00,49.22,Low,Property Dispute,"['Contract Dispute', 'Property Dispute', 'Employment']",['property dispute'],['damages'],7,100.00,2025-09-15 08:49:04+00:00,2025-09-15 08:49:04+00:00
56,39285,3,Low,['contract'],2984.00,102.90,Low,Property Dispute,"['Contract Dispute', 'Property Dispute']",[],['debt'],2,0.00,2025-09-15 08:49:04+00:00,2025-09-15 08:49:04+00:00
57,39287,12,Low,['property'],24843.00,58.32,Medium,Contract Dispute,"['Contract Dispute', 'Property Dispute', 'Employment']",['property dispute'],[],10,0.00,2025-09-15 08:49:04+00:00,2025-09-15 08:49:04+00:00
58,39288,8,Low,"['property', 'land']",5643.00,64.13,Low,Property Dispute,"['Contract Dispute', 'Property Dispute', 'Commercial', 'Administrative']",['property dispute'],"['damages', 'settlement']",4,0.00,2025-09-15 08:49:05+00:00,2025-09-15 08:49:05+00:00
59,39292,16,Low,"['corruption', 'breach', 'business', 'commercial']",12160.00,94.26,Medium,Contract Dispute,"['Contract Dispute', 'Property Dispute', 'Commercial', 'Employment', 'Constitutional', 'Administrative']",['human rights'],"['payment', 'damages']",9,100.00,2025-09-15 08:49:05+00:00,2025-09-15 08:49:05+00:00
60,39293,12,Low,"['contract', 'breach', 'divorce', 'custody']",84823.00,240.97,Medium,Family Law,"['Contract Dispute', 'Property Dispute', 'Family Law', 'Commercial', 'Employment', 'Constitutional']",[],"['profit', 'fine']",7,100.00,2025-09-15 08:49:05+00:00,2025-09-15 08:49:05+00:00
61,39295,33,Medium,"['criminal', 'robbery', 'violence', 'property']",319965.00,1893.28,High,Property Dispute,"['Property Dispute', 'Criminal', 'Tort', 'Constitutional']",['negligence'],['fine'],9,100.00,2025-09-15 08:49:05+00:00,2025-09-15 08:49:05+00:00
62,39298,11,Low,"['commercial', 'land', 'ownership']",16822.23,113.66,Medium,Property Dispute,"['Contract Dispute', 'Property Dispute', 'Commercial', 'Employment', 'Administrative']",[],['damages'],5,100.00,2025-09-15 08:49:06+00:00,2025-09-15 08:49:06+00:00
63,39300,19,Low,"['contract', 'business', 'partnership', 'family', 'property', 'land']",63009.00,716.01,Medium,Property Dispute,"['Contract Dispute', 'Property Dispute', 'Commercial', 'Administrative']",['property dispute'],"['compensation', 'fine', 'settlement']",4,100.00,2025-09-15 08:49:06+00:00,2025-09-15 08:49:06+00:00
64,39301,18,Low,"['family', 'property', 'land', 'boundary', 'ownership']",11377.15,95.61,Medium,Property Dispute,"['Contract Dispute', 'Property Dispute', 'Commercial', 'Employment', 'Administrative']",['property dispute'],"['damages', 'fine']",5,100.00,2025-09-15 08:49:06+00:00,2025-09-15 08:49:06+00:00
65,39302,12,Low,"['breach', 'commercial', 'domestic', 'land']",22019.42,114.68,Medium,Contract Dispute,"['Contract Dispute', 'Property Dispute', 'Commercial', 'Employment', 'Constitutional', 'Administrative']",['human rights'],"['payment', 'damages']",7,100.00,2025-09-15 08:49:06+00:00,2025-09-15 08:49:06+00:00
66,39303,30,Medium,"['fraud', 'divorce', 'family', 'property', 'land']",11209.00,119.24,Medium,Property Dispute,"['Property Dispute', 'Fraud', 'Family Law', 'Employment']","['property dispute', 'fraud']",[],5,100.00,2025-09-15 08:49:06+00:00,2025-09-15 08:49:06+00:00
67,39304,55,High,"['criminal', 'assault', 'drug', 'abuse of office', 'breach', 'custody', 'land']",15833.00,85.12,Medium,Property Dispute,"['Contract Dispute', 'Property Dispute', 'Criminal', 'Commercial', 'Employment', 'Constitutional', 'Administrative']","['human rights', 'constitutional rights']",['fine'],10,100.00,2025-09-15 08:49:07+00:00,2025-09-15 08:49:07+00:00
68,39305,31,Medium,"['criminal', 'contract', 'business', 'commercial', 'property', 'land', 'ownership']",33923.00,146.22,Medium,Property Dispute,"['Contract Dispute', 'Property Dispute', 'Family Law', 'Commercial', 'Administrative']",['property dispute'],"['loss', 'damages', 'fine']",10,100.00,2025-09-15 08:49:07+00:00,2025-09-15 08:49:07+00:00
69,39306,39,Medium,"['fraud', 'contract', 'family', 'property', 'land', 'boundary', 'ownership']",46660.50,211.13,Medium,Property Dispute,"['Contract Dispute', 'Property Dispute', 'Fraud', 'Commercial', 'Employment']","['property dispute', 'fraud']",['damages'],7,100.00,2025-09-15 08:49:07+00:00,2025-09-15 08:49:07+00:00
70,39307,31,Medium,"['criminal', 'contract', 'family', 'property', 'land', 'boundary', 'ownership']",13255.00,116.27,Medium,Property Dispute,"['Contract Dispute', 'Property Dispute', 'Commercial', 'Employment', 'Constitutional', 'Administrative']",['human rights'],"['damages', 'compensation', 'fine', 'settlement']",7,100.00,2025-09-15 08:49:07+00:00,2025-09-15 08:49:07+00:00
71,39309,6,Low,"['business', 'commercial']",43061.00,406.24,Medium,Administrative,"['Property Dispute', 'Commercial', 'Constitutional', 'Administrative']",[],"['loss', 'payment', 'fine']",4,100.00,2025-09-15 08:49:07+00:00,2025-09-15 08:49:07+00:00
72,39310,7,Low,"['commercial', 'land']",752803.00,8094.66,High,Property Dispute,"['Contract Dispute', 'Property Dispute', 'Employment', 'Administrative']",[],"['payment', 'damages']",4,100.00,2025-09-15 08:49:07+00:00,2025-09-15 08:49:07+00:00
73,39311,14,Low,"['contract', 'breach', 'custody', 'family', 'land']",440584.00,2030.34,High,Tort,"['Contract Dispute', 'Property Dispute', 'Family Law', 'Commercial', 'Employment', 'Tort', 'Constitutional', 'Administrative']","['defamation', 'discrimination', 'human rights', 'negligence']","['loss', 'damages', 'compensation']",10,100.00,2025-09-15 08:49:08+00:00,2025-09-15 08:49:08+00:00
74,39312,9,Low,"['breach', 'custody', 'land']",23075.00,162.50,Medium,Administrative,"['Contract Dispute', 'Property Dispute', 'Employment', 'Constitutional', 'Administrative']",[],"['penalty', 'fine']",10,100.00,2025-09-15 08:49:08+00:00,2025-09-15 08:49:08+00:00
75,39313,19,Low,"['bribery', 'custody', 'criminal']",7826.00,58.84,Low,Employment,"['Employment', 'Constitutional', 'Administrative']",[],[],10,50.00,2025-09-15 08:49:08+00:00,2025-09-15 08:49:08+00:00
76,39316,19,Low,"['partnership', 'custody', 'family', 'property', 'land', 'ownership']",39353.00,88.43,Medium,Property Dispute,"['Contract Dispute', 'Property Dispute', 'Commercial', 'Employment', 'Constitutional', 'Administrative']",['property dispute'],"['refund', 'damages', 'compensation']",7,100.00,2025-09-15 08:49:08+00:00,2025-09-15 08:49:08+00:00
77,39317,14,Low,"['family', 'property', 'land', 'ownership']",11318.52,103.84,Medium,Property Dispute,"['Contract Dispute', 'Property Dispute', 'Commercial']",['property dispute'],['damages'],2,100.00,2025-09-15 08:49:08+00:00,2025-09-15 08:49:08+00:00
78,39321,16,Low,"['property', 'land', 'boundary', 'ownership']",37007.00,133.12,Medium,Property Dispute,"['Property Dispute', 'Commercial', 'Tort']",['negligence'],['fine'],5,100.00,2025-09-15 08:49:09+00:00,2025-09-15 08:49:09+00:00
79,39322,18,Low,"['family', 'property', 'land', 'boundary', 'ownership']",19392.00,125.92,Medium,Property Dispute,"['Contract Dispute', 'Property Dispute', 'Employment', 'Administrative']",['property dispute'],"['damages', 'settlement']",5,100.00,2025-09-15 08:49:09+00:00,2025-09-15 08:49:09+00:00
80,39323,34,Medium,"['fraud', 'breach', 'partnership', 'custody', 'land', 'ownership']",49564.00,107.98,Medium,Constitutional,"['Contract Dispute', 'Property Dispute', 'Fraud', 'Commercial', 'Employment', 'Constitutional', 'Administrative']","['human rights', 'fraud']","['loss', 'fine', 'settlement']",10,100.00,2025-09-15 08:49:09+00:00,2025-09-15 08:49:09+00:00
81,39326,15,Low,"['contract', 'breach', 'business', 'family', 'land']",345050.00,2594.36,High,Contract Dispute,"['Contract Dispute', 'Property Dispute', 'Family Law', 'Commercial', 'Employment', 'Tort', 'Constitutional']",['defamation'],"['loss', 'damages', 'fine']",10,100.00,2025-09-15 08:49:09+00:00,2025-09-15 08:49:09+00:00
82,39328,31,Medium,"['criminal', 'fraud', 'commercial']",469486.00,3726.08,High,Property Dispute,"['Property Dispute', 'Fraud']",['fraud'],['payment'],4,0.00,2025-09-15 08:49:10+00:00,2025-09-15 08:49:10+00:00
83,39329,27,Medium,"['criminal', 'contract', 'divorce', 'custody', 'family', 'property', 'land']",36667.63,300.55,Medium,Contract Dispute,"['Contract Dispute', 'Property Dispute', 'Family Law', 'Constitutional']",[],"['loan', 'payment', 'settlement']",5,100.00,2025-09-15 08:49:10+00:00,2025-09-15 08:49:10+00:00
84,39331,16,Low,"['business', 'commercial', 'divorce', 'property', 'ownership']",790728.00,3379.18,High,Property Dispute,"['Contract Dispute', 'Property Dispute', 'Family Law', 'Commercial']",[],"['loss', 'profit', 'damages', 'fine']",5,100.00,2025-09-15 08:49:10+00:00,2025-09-15 08:49:10+00:00
85,39333,11,Low,"['breach', 'property', 'land']",30884.00,141.02,Medium,Property Dispute,"['Contract Dispute', 'Property Dispute', 'Family Law', 'Commercial', 'Tort', 'Administrative']",['negligence'],"['payment', 'damages', 'compensation', 'fine']",7,100.00,2025-09-15 08:49:10+00:00,2025-09-15 08:49:10+00:00
86,39335,7,Low,"['contract', 'divorce', 'family']",6304.00,65.67,Low,Family Law,"['Contract Dispute', 'Property Dispute', 'Family Law', 'Administrative']",['family law'],[],5,100.00,2025-09-15 08:49:11+00:00,2025-09-15 08:49:11+00:00
87,39336,20,Medium,"['contract', 'breach', 'family', 'property', 'land', 'ownership']",97058.00,1386.54,Medium,Contract Dispute,"['Contract Dispute', 'Property Dispute', 'Employment']",[],"['profit', 'payment', 'damages', 'fine']",5,100.00,2025-09-15 08:49:11+00:00,2025-09-15 08:49:11+00:00
88,39337,12,Low,"['property', 'land', 'ownership']",11414.00,103.76,Medium,Property Dispute,"['Property Dispute', 'Commercial']",['property dispute'],[],7,0.00,2025-09-15 08:49:11+00:00,2025-09-15 08:49:11+00:00
89,39339,39,Medium,"['fraud', 'contract', 'divorce', 'custody', 'family', 'property', 'land', 'ownership']",575408.59,4495.38,High,Property Dispute,"['Contract Dispute', 'Property Dispute', 'Fraud', 'Family Law', 'Commercial', 'Employment', 'Constitutional']","['human rights', 'fraud']","['payment', 'investment', 'loan', 'mortgage', 'settlement']",7,100.00,2025-09-15 08:49:11+00:00,2025-09-15 08:49:11+00:00
90,39342,26,Medium,"['contract', 'business', 'divorce', 'custody', 'alimony', 'family', 'property', 'land', 'ownership']",577542.00,1931.58,High,Property Dispute,"['Contract Dispute', 'Property Dispute', 'Family Law', 'Commercial', 'Employment', 'Constitutional', 'Administrative']",[],"['loss', 'payment', 'investment', 'loan', 'fine', 'debt', 'settlement']",7,100.00,2025-09-15 08:49:12+00:00,2025-09-15 08:49:12+00:00
