id,name,registry_name,court_type,region,location,address,city,district,latitude,longitude,google_place_id,area_coverage,contact_phone,contact_email,website,court_picture_url,additional_images,operating_hours,is_active,is_verified,created_at,updated_at,created_by,updated_by,search_count,last_searched,notes,status
19,Sekondi District Court – B,,District Court,Western,Sekondi,"Sekondi District Court – B, Sekondi, Western",,,5.132664,-1.7494,,Jurisdiction covers Sekondi and surrounding areas,+233 956 163 409,sekondi.court@judicial.gov.gh,https://www.judicial.gov.gh,https://images.unsplash.com/photo-1589829545856-d10d557cf95f?w=500,,"{'monday': '9:00 AM - 5:00 PM', 'tuesday': '9:00 AM - 5:00 PM', 'wednesday': '9:00 AM - 5:00 PM', 'thursday': '9:00 AM - 5:00 PM', 'friday': '9:00 AM - 5:00 PM', 'saturday': '9:00 AM - 1:00 PM', 'sunday': 'Closed'}",True,True,2025-09-18 03:10:03,2025-09-18 03:22:34,,,0,,"Court located in Sekondi, Western region",ACTIVE
20,Takoradi Harbour Area District Court,,District Court,Western,Takoradi Harbour Area,"Takoradi Harbour Area District Court, Takoradi Harbour Area, Western",,,5.347095,-2.443263,,Jurisdiction covers Takoradi Harbour Area and surrounding areas,+233 679 788 969,takoradiharbourarea.court@judicial.gov.gh,https://www.judicial.gov.gh,https://images.unsplash.com/photo-1589829545856-d10d557cf95f?w=500,,"{'monday': '9:00 AM - 5:00 PM', 'tuesday': '9:00 AM - 5:00 PM', 'wednesday': '9:00 AM - 5:00 PM', 'thursday': '9:00 AM - 5:00 PM', 'friday': '9:00 AM - 5:00 PM', 'saturday': '9:00 AM - 1:00 PM', 'sunday': 'Closed'}",True,True,2025-09-18 03:10:03,2025-09-18 03:22:34,,,0,,"Court located in Takoradi Harbour Area, Western region",ACTIVE
21,Takoradi Market Circle District Court,,District Court,Western,Takoradi Market Circle,"Takoradi Market Circle District Court, Takoradi Market Circle, Western",,,5.245794,-1.657543,,Jurisdiction covers Takoradi Market Circle and surrounding areas,+233 402 150 764,takoradimarketcircle.court@judicial.gov.gh,https://www.judicial.gov.gh,https://images.unsplash.com/photo-1589829545856-d10d557cf95f?w=500,,"{'monday': '9:00 AM - 5:00 PM', 'tuesday': '9:00 AM - 5:00 PM', 'wednesday': '9:00 AM - 5:00 PM', 'thursday': '9:00 AM - 5:00 PM', 'friday': '9:00 AM - 5:00 PM', 'saturday': '9:00 AM - 1:00 PM', 'sunday': 'Closed'}",True,True,2025-09-18 03:10:03,2025-09-18 03:22:34,,,0,,"Court located in Takoradi Market Circle, Western region",ACTIVE
23,Tarkwa District Court – B,,District Court,Western,Tarkwa,"Tarkwa District Court – B, Tarkwa, Western",,,4.896037,-1.752336,,Jurisdiction covers Tarkwa and surrounding areas,+233 457 803 512,tarkwa.court@judicial.gov.gh,https://www.judicial.gov.gh,https://images.unsplash.com/photo-1589829545856-d10d557cf95f?w=500,,"{'monday': '9:00 AM - 5:00 PM', 'tuesday': '9:00 AM - 5:00 PM', 'wednesday': '9:00 AM - 5:00 PM', 'thursday': '9:00 AM - 5:00 PM', 'friday': '9:00 AM - 5:00 PM', 'saturday': '9:00 AM - 1:00 PM', 'sunday': 'Closed'}",True,True,2025-09-18 03:10:03,2025-09-18 03:22:34,,,0,,"Court located in Tarkwa, Western region",ACTIVE
25,Prestea District Court,,District Court,Western,Prestea,"Prestea District Court, Prestea, Western",,,5.090165,-1.919457,,Jurisdiction covers Prestea and surrounding areas,+233 354 651 417,prestea.court@judicial.gov.gh,https://www.judicial.gov.gh,https://images.unsplash.com/photo-1589829545856-d10d557cf95f?w=500,,"{'monday': '9:00 AM - 5:00 PM', 'tuesday': '9:00 AM - 5:00 PM', 'wednesday': '9:00 AM - 5:00 PM', 'thursday': '9:00 AM - 5:00 PM', 'friday': '9:00 AM - 5:00 PM', 'saturday': '9:00 AM - 1:00 PM', 'sunday': 'Closed'}",True,True,2025-09-18 03:10:03,2025-09-18 03:22:34,,,0,,"Court located in Prestea, Western region",ACTIVE
27,Shama District Court,,District Court,Western,Shama,"Shama District Court, Shama, Western",,,5.368125,-2.021676,,Jurisdiction covers Shama and surrounding areas,+233 585 757 129,shama.court@judicial.gov.gh,https://www.judicial.gov.gh,https://images.unsplash.com/photo-1589829545856-d10d557cf95f?w=500,,"{'monday': '9:00 AM - 5:00 PM', 'tuesday': '9:00 AM - 5:00 PM', 'wednesday': '9:00 AM - 5:00 PM', 'thursday': '9:00 AM - 5:00 PM', 'friday': '9:00 AM - 5:00 PM', 'saturday': '9:00 AM - 1:00 PM', 'sunday': 'Closed'}",True,True,2025-09-18 03:10:03,2025-09-18 03:22:34,,,0,,"Court located in Shama, Western region",ACTIVE
29,Wassa Akropong District Court,,District Court,Western,Wassa Akropong,"Wassa Akropong District Court, Wassa Akropong, Western",,,5.010669,-1.720523,,Jurisdiction covers Wassa Akropong and surrounding areas,+233 403 782 479,wassaakropong.court@judicial.gov.gh,https://www.judicial.gov.gh,https://images.unsplash.com/photo-1589829545856-d10d557cf95f?w=500,,"{'monday': '9:00 AM - 5:00 PM', 'tuesday': '9:00 AM - 5:00 PM', 'wednesday': '9:00 AM - 5:00 PM', 'thursday': '9:00 AM - 5:00 PM', 'friday': '9:00 AM - 5:00 PM', 'saturday': '9:00 AM - 1:00 PM', 'sunday': 'Closed'}",True,True,2025-09-18 03:10:03,2025-09-18 03:22:34,,,0,,"Court located in Wassa Akropong, Western region",ACTIVE
31,Daboase District Court,,District Court,Western,Daboase,"Daboase District Court, Daboase, Western",,,5.475544,-2.215283,,Jurisdiction covers Daboase and surrounding areas,+233 223 862 530,daboase.court@judicial.gov.gh,https://www.judicial.gov.gh,https://images.unsplash.com/photo-1589829545856-d10d557cf95f?w=500,,"{'monday': '9:00 AM - 5:00 PM', 'tuesday': '9:00 AM - 5:00 PM', 'wednesday': '9:00 AM - 5:00 PM', 'thursday': '9:00 AM - 5:00 PM', 'friday': '9:00 AM - 5:00 PM', 'saturday': '9:00 AM - 1:00 PM', 'sunday': 'Closed'}",True,True,2025-09-18 03:10:03,2025-09-18 03:22:34,,,0,,"Court located in Daboase, Western region",ACTIVE
33,Mpohor District Court,,District Court,Western,Mpohor,"Mpohor District Court, Mpohor, Western",,,5.398732,-2.320637,,Jurisdiction covers Mpohor and surrounding areas,+233 976 986 738,mpohor.court@judicial.gov.gh,https://www.judicial.gov.gh,https://images.unsplash.com/photo-1589829545856-d10d557cf95f?w=500,,"{'monday': '9:00 AM - 5:00 PM', 'tuesday': '9:00 AM - 5:00 PM', 'wednesday': '9:00 AM - 5:00 PM', 'thursday': '9:00 AM - 5:00 PM', 'friday': '9:00 AM - 5:00 PM', 'saturday': '9:00 AM - 1:00 PM', 'sunday': 'Closed'}",True,True,2025-09-18 03:10:03,2025-09-18 03:22:34,,,0,,"Court located in Mpohor, Western region",ACTIVE
35,Bibiani Circuit Court,,Circuit Court,Western North,GBVC,"Bibiani Circuit Court, GBVC, Western North",,,5.543405,-2.369404,,Jurisdiction covers GBVC and surrounding areas,+233 941 282 640,gbvc.court@judicial.gov.gh,https://www.judicial.gov.gh,https://images.unsplash.com/photo-1589829545856-d10d557cf95f?w=500,,"{'monday': '9:00 AM - 5:00 PM', 'tuesday': '9:00 AM - 5:00 PM', 'wednesday': '9:00 AM - 5:00 PM', 'thursday': '9:00 AM - 5:00 PM', 'friday': '9:00 AM - 5:00 PM', 'saturday': '9:00 AM - 1:00 PM', 'sunday': 'Closed'}",True,True,2025-09-18 03:10:03,2025-09-18 03:22:34,,,0,,"Court located in GBVC, Western North region",ACTIVE
37,Enchi Circuit Court,,Circuit Court,Western North,Enchi,"Enchi Circuit Court, Enchi, Western North",,,6.155936,-1.960954,,Jurisdiction covers Enchi and surrounding areas,+233 754 797 384,enchi.court@judicial.gov.gh,https://www.judicial.gov.gh,https://images.unsplash.com/photo-1589829545856-d10d557cf95f?w=500,,"{'monday': '9:00 AM - 5:00 PM', 'tuesday': '9:00 AM - 5:00 PM', 'wednesday': '9:00 AM - 5:00 PM', 'thursday': '9:00 AM - 5:00 PM', 'friday': '9:00 AM - 5:00 PM', 'saturday': '9:00 AM - 1:00 PM', 'sunday': 'Closed'}",True,True,2025-09-18 03:10:03,2025-09-18 03:22:34,,,0,,"Court located in Enchi, Western North region",ACTIVE
39,Enchi District Court,,District Court,Western North,Enchi,"Enchi District Court, Enchi, Western North",,,5.941924,-1.811358,,Jurisdiction covers Enchi and surrounding areas,+233 606 800 845,enchi.court@judicial.gov.gh,https://www.judicial.gov.gh,https://images.unsplash.com/photo-1589829545856-d10d557cf95f?w=500,,"{'monday': '9:00 AM - 5:00 PM', 'tuesday': '9:00 AM - 5:00 PM', 'wednesday': '9:00 AM - 5:00 PM', 'thursday': '9:00 AM - 5:00 PM', 'friday': '9:00 AM - 5:00 PM', 'saturday': '9:00 AM - 1:00 PM', 'sunday': 'Closed'}",True,True,2025-09-18 03:10:03,2025-09-18 03:22:34,,,0,,"Court located in Enchi, Western North region",ACTIVE
41,Sefwi Wiawso District Court,,District Court,Western North,Sefwi Wiawso,"Sefwi Wiawso District Court, Sefwi Wiawso, Western North",,,6.10395,-2.44159,,Jurisdiction covers Sefwi Wiawso and surrounding areas,+233 577 495 205,sefwiwiawso.court@judicial.gov.gh,https://www.judicial.gov.gh,https://images.unsplash.com/photo-1589829545856-d10d557cf95f?w=500,,"{'monday': '9:00 AM - 5:00 PM', 'tuesday': '9:00 AM - 5:00 PM', 'wednesday': '9:00 AM - 5:00 PM', 'thursday': '9:00 AM - 5:00 PM', 'friday': '9:00 AM - 5:00 PM', 'saturday': '9:00 AM - 1:00 PM', 'sunday': 'Closed'}",True,True,2025-09-18 03:10:03,2025-09-18 03:22:34,,,0,,"Court located in Sefwi Wiawso, Western North region",ACTIVE
43,Sefwi Akontombra District Court,,District Court,Western North,Sefwi Akontombra,"Sefwi Akontombra District Court, Sefwi Akontombra, Western North",,,6.452839,-1.992429,,Jurisdiction covers Sefwi Akontombra and surrounding areas,+233 886 997 343,sefwiakontombra.court@judicial.gov.gh,https://www.judicial.gov.gh,https://images.unsplash.com/photo-1589829545856-d10d557cf95f?w=500,,"{'monday': '9:00 AM - 5:00 PM', 'tuesday': '9:00 AM - 5:00 PM', 'wednesday': '9:00 AM - 5:00 PM', 'thursday': '9:00 AM - 5:00 PM', 'friday': '9:00 AM - 5:00 PM', 'saturday': '9:00 AM - 1:00 PM', 'sunday': 'Closed'}",True,True,2025-09-18 03:10:03,2025-09-18 03:22:34,,,0,,"Court located in Sefwi Akontombra, Western North region",ACTIVE
22,Tarkwa District Court – A,,District Court,Western,Tarkwa,"Tarkwa District Court – A, Tarkwa, Western",,,5.45853,-1.676182,,Jurisdiction covers Tarkwa and surrounding areas,+233 444 419 595,tarkwa.court@judicial.gov.gh,https://www.judicial.gov.gh,https://images.unsplash.com/photo-1589829545856-d10d557cf95f?w=500,,"{'monday': '9:00 AM - 5:00 PM', 'tuesday': '9:00 AM - 5:00 PM', 'wednesday': '9:00 AM - 5:00 PM', 'thursday': '9:00 AM - 5:00 PM', 'friday': '9:00 AM - 5:00 PM', 'saturday': '9:00 AM - 1:00 PM', 'sunday': 'Closed'}",True,True,2025-09-18 03:10:03,2025-09-18 03:22:34,,,0,,"Court located in Tarkwa, Western region",ACTIVE
24,Half Assini District Court,,District Court,Western,Half Assini,"Half Assini District Court, Half Assini, Western",,,5.482699,-2.440763,,Jurisdiction covers Half Assini and surrounding areas,+233 583 791 550,halfassini.court@judicial.gov.gh,https://www.judicial.gov.gh,https://images.unsplash.com/photo-1589829545856-d10d557cf95f?w=500,,"{'monday': '9:00 AM - 5:00 PM', 'tuesday': '9:00 AM - 5:00 PM', 'wednesday': '9:00 AM - 5:00 PM', 'thursday': '9:00 AM - 5:00 PM', 'friday': '9:00 AM - 5:00 PM', 'saturday': '9:00 AM - 1:00 PM', 'sunday': 'Closed'}",True,True,2025-09-18 03:10:03,2025-09-18 03:22:34,,,0,,"Court located in Half Assini, Western region",ACTIVE
26,Agona Nkwanta District Court,,District Court,Western,Agona Nkwanta,"Agona Nkwanta District Court, Agona Nkwanta, Western",,,5.302147,-2.015828,,Jurisdiction covers Agona Nkwanta and surrounding areas,+233 500 260 668,agonankwanta.court@judicial.gov.gh,https://www.judicial.gov.gh,https://images.unsplash.com/photo-1589829545856-d10d557cf95f?w=500,,"{'monday': '9:00 AM - 5:00 PM', 'tuesday': '9:00 AM - 5:00 PM', 'wednesday': '9:00 AM - 5:00 PM', 'thursday': '9:00 AM - 5:00 PM', 'friday': '9:00 AM - 5:00 PM', 'saturday': '9:00 AM - 1:00 PM', 'sunday': 'Closed'}",True,True,2025-09-18 03:10:03,2025-09-18 03:22:34,,,0,,"Court located in Agona Nkwanta, Western region",ACTIVE
28,Asankrangwa District Court,,District Court,Western,Asankrangwa,"Asankrangwa District Court, Asankrangwa, Western",,,5.736639,-2.257892,,Jurisdiction covers Asankrangwa and surrounding areas,+233 674 505 122,asankrangwa.court@judicial.gov.gh,https://www.judicial.gov.gh,https://images.unsplash.com/photo-1589829545856-d10d557cf95f?w=500,,"{'monday': '9:00 AM - 5:00 PM', 'tuesday': '9:00 AM - 5:00 PM', 'wednesday': '9:00 AM - 5:00 PM', 'thursday': '9:00 AM - 5:00 PM', 'friday': '9:00 AM - 5:00 PM', 'saturday': '9:00 AM - 1:00 PM', 'sunday': 'Closed'}",True,True,2025-09-18 03:10:03,2025-09-18 03:22:34,,,0,,"Court located in Asankrangwa, Western region",ACTIVE
30,Nkroful District Court,,District Court,Western,Nkroful,"Nkroful District Court, Nkroful, Western",,,5.682569,-1.776865,,Jurisdiction covers Nkroful and surrounding areas,+233 724 271 231,nkroful.court@judicial.gov.gh,https://www.judicial.gov.gh,https://images.unsplash.com/photo-1589829545856-d10d557cf95f?w=500,,"{'monday': '9:00 AM - 5:00 PM', 'tuesday': '9:00 AM - 5:00 PM', 'wednesday': '9:00 AM - 5:00 PM', 'thursday': '9:00 AM - 5:00 PM', 'friday': '9:00 AM - 5:00 PM', 'saturday': '9:00 AM - 1:00 PM', 'sunday': 'Closed'}",True,True,2025-09-18 03:10:03,2025-09-18 03:22:34,,,0,,"Court located in Nkroful, Western region",ACTIVE
32,Effia Kwesimintsim District Court,,District Court,Western,Effia Kwesimintsim,"Effia Kwesimintsim District Court, Effia Kwesimintsim, Western",,,5.299541,-2.115588,,Jurisdiction covers Effia Kwesimintsim and surrounding areas,+233 784 919 262,effiakwesimintsim.court@judicial.gov.gh,https://www.judicial.gov.gh,https://images.unsplash.com/photo-1589829545856-d10d557cf95f?w=500,,"{'monday': '9:00 AM - 5:00 PM', 'tuesday': '9:00 AM - 5:00 PM', 'wednesday': '9:00 AM - 5:00 PM', 'thursday': '9:00 AM - 5:00 PM', 'friday': '9:00 AM - 5:00 PM', 'saturday': '9:00 AM - 1:00 PM', 'sunday': 'Closed'}",True,True,2025-09-18 03:10:03,2025-09-18 03:22:34,,,0,,"Court located in Effia Kwesimintsim, Western region",ACTIVE
34,Sefwi Wiawso High Court,,High Court,Western North,Sefwi Wiawso,"Sefwi Wiawso High Court, Sefwi Wiawso, Western North",,,5.621852,-2.035668,,Jurisdiction covers Sefwi Wiawso and surrounding areas,+233 518 129 412,sefwiwiawso.court@judicial.gov.gh,https://www.judicial.gov.gh,https://images.unsplash.com/photo-1589829545856-d10d557cf95f?w=500,,"{'monday': '9:00 AM - 5:00 PM', 'tuesday': '9:00 AM - 5:00 PM', 'wednesday': '9:00 AM - 5:00 PM', 'thursday': '9:00 AM - 5:00 PM', 'friday': '9:00 AM - 5:00 PM', 'saturday': '9:00 AM - 1:00 PM', 'sunday': 'Closed'}",True,True,2025-09-18 03:10:03,2025-09-18 03:22:34,,,0,,"Court located in Sefwi Wiawso, Western North region",ACTIVE
36,Bodi Circuit Court,,Circuit Court,Western North,Bodi,"Bodi Circuit Court, Bodi, Western North",,,5.605615,-2.125637,,Jurisdiction covers Bodi and surrounding areas,+233 823 925 167,bodi.court@judicial.gov.gh,https://www.judicial.gov.gh,https://images.unsplash.com/photo-1589829545856-d10d557cf95f?w=500,,"{'monday': '9:00 AM - 5:00 PM', 'tuesday': '9:00 AM - 5:00 PM', 'wednesday': '9:00 AM - 5:00 PM', 'thursday': '9:00 AM - 5:00 PM', 'friday': '9:00 AM - 5:00 PM', 'saturday': '9:00 AM - 1:00 PM', 'sunday': 'Closed'}",True,True,2025-09-18 03:10:03,2025-09-18 03:22:34,,,0,,"Court located in Bodi, Western North region",ACTIVE
38,Bibiani District Court,,District Court,Western North,Bibiani,"Bibiani District Court, Bibiani, Western North",,,5.549517,-1.750916,,Jurisdiction covers Bibiani and surrounding areas,+233 560 865 309,bibiani.court@judicial.gov.gh,https://www.judicial.gov.gh,https://images.unsplash.com/photo-1589829545856-d10d557cf95f?w=500,,"{'monday': '9:00 AM - 5:00 PM', 'tuesday': '9:00 AM - 5:00 PM', 'wednesday': '9:00 AM - 5:00 PM', 'thursday': '9:00 AM - 5:00 PM', 'friday': '9:00 AM - 5:00 PM', 'saturday': '9:00 AM - 1:00 PM', 'sunday': 'Closed'}",True,True,2025-09-18 03:10:03,2025-09-18 03:22:34,,,0,,"Court located in Bibiani, Western North region",ACTIVE
40,Sefwi Juaboso District Court,,District Court,Western North,Sefwi Juaboso,"Sefwi Juaboso District Court, Sefwi Juaboso, Western North",,,5.581125,-2.32999,,Jurisdiction covers Sefwi Juaboso and surrounding areas,+233 763 470 327,sefwijuaboso.court@judicial.gov.gh,https://www.judicial.gov.gh,https://images.unsplash.com/photo-1589829545856-d10d557cf95f?w=500,,"{'monday': '9:00 AM - 5:00 PM', 'tuesday': '9:00 AM - 5:00 PM', 'wednesday': '9:00 AM - 5:00 PM', 'thursday': '9:00 AM - 5:00 PM', 'friday': '9:00 AM - 5:00 PM', 'saturday': '9:00 AM - 1:00 PM', 'sunday': 'Closed'}",True,True,2025-09-18 03:10:03,2025-09-18 03:22:34,,,0,,"Court located in Sefwi Juaboso, Western North region",ACTIVE
42,Sefwi Debiso District Court,,District Court,Western North,Sefwi Debiso,"Sefwi Debiso District Court, Sefwi Debiso, Western North",,,5.546813,-2.477495,,Jurisdiction covers Sefwi Debiso and surrounding areas,+233 968 200 135,sefwidebiso.court@judicial.gov.gh,https://www.judicial.gov.gh,https://images.unsplash.com/photo-1589829545856-d10d557cf95f?w=500,,"{'monday': '9:00 AM - 5:00 PM', 'tuesday': '9:00 AM - 5:00 PM', 'wednesday': '9:00 AM - 5:00 PM', 'thursday': '9:00 AM - 5:00 PM', 'friday': '9:00 AM - 5:00 PM', 'saturday': '9:00 AM - 1:00 PM', 'sunday': 'Closed'}",True,True,2025-09-18 03:10:03,2025-09-18 03:22:34,,,0,,"Court located in Sefwi Debiso, Western North region",ACTIVE
44,Adabokrom District Court,,District Court,Western North,Adabokrom,"Adabokrom District Court, Adabokrom, Western North",,,6.295604,-2.114331,,Jurisdiction covers Adabokrom and surrounding areas,+233 451 900 145,adabokrom.court@judicial.gov.gh,https://www.judicial.gov.gh,https://images.unsplash.com/photo-1589829545856-d10d557cf95f?w=500,,"{'monday': '9:00 AM - 5:00 PM', 'tuesday': '9:00 AM - 5:00 PM', 'wednesday': '9:00 AM - 5:00 PM', 'thursday': '9:00 AM - 5:00 PM', 'friday': '9:00 AM - 5:00 PM', 'saturday': '9:00 AM - 1:00 PM', 'sunday': 'Closed'}",True,True,2025-09-18 03:10:03,2025-09-18 03:22:34,,,0,,"Court located in Adabokrom, Western North region",ACTIVE
45,Cape Coast High Court,,High Court,Central,Cape Coast,"Cape Coast High Court, Cape Coast, Central Region",,,5.104,-1.2466,,Jurisdiction covers Cape Coast and surrounding areas,+233 332 020 123,capecoast.highcourt@judicial.gov.gh,https://www.judicial.gov.gh,https://images.unsplash.com/photo-1589829545856-d10d557cf95f?w=500,,"{'monday': '9:00 AM - 5:00 PM', 'tuesday': '9:00 AM - 5:00 PM', 'wednesday': '9:00 AM - 5:00 PM', 'thursday': '9:00 AM - 5:00 PM', 'friday': '9:00 AM - 5:00 PM', 'saturday': '9:00 AM - 1:00 PM', 'sunday': 'Closed'}",True,True,2025-09-18 03:10:03,2025-09-18 03:22:34,,,0,,"Court located in Cape Coast, Central region",ACTIVE
