id,name,short_name,logo_url,website,phone,email,address,city,region,country,postal_code,type_of_company,district,date_of_incorporation,date_of_commencement,nature_of_business,registration_number,tax_identification_number,phone_number,directors,secretary,auditor,authorized_shares,stated_capital,shareholders,other_linked_companies,tin_number,established_date,company_type,industry,ownership_type,business_activities,previous_names,board_of_directors,key_personnel,subsidiaries,annual_revenue,net_worth,employee_count,rating,head_office_address,customer_service_phone,customer_service_email,has_website,has_social_media,has_mobile_app,is_active,is_verified,verification_date,verification_notes,search_count,last_searched,created_at,updated_at,created_by,updated_by,description,notes,status
23,Abii National Savings & Loans LTD,Abii National Savings,,,,,,,,Ghana,,,,,,,,,,,,,,,,,,,French Company,Banking & Finance,,,,,,,,,0,,,,,False,False,False,True,False,,,0,,2025-09-14 19:44:49,2025-09-14 19:44:49,,,,,Active
24,Abii National Savings & Loans Ltd Vs Zap Energy Ghana LIMITED,Abii National Savings,,,,,,,,Ghana,,,,,,,,,,,,,,,,,,,French Company,Banking & Finance,,,,,,,,,0,,,,,False,False,False,True,False,,,0,,2025-09-14 19:44:49,2025-09-14 19:44:49,,,,,Active
25,Abivams LIMITED,Abivams LIMITED,,,,,,,,Ghana,,,,,,,,,,,,,,,,,,,Private Limited Company,Technology,,,,,,,,,0,,,,,False,False,False,True,False,,,0,,2025-09-14 19:44:49,2025-09-14 19:44:49,,,,,Active
125,Afibiyesan,Afibiyesan,,,,,,,,Ghana,,,,,,,,,,,,,,,,,,,French Company,Other,,,,,,,,,0,,,,,False,False,False,True,False,,,0,,2025-09-14 19:44:50,2025-09-14 19:44:50,,,,,Active
27,Aboafo Buying CO,Aboafo Buying CO,,,,,,,,Ghana,,,,,,,,,,,,,,,,,,,Private Limited Company,Other,,,,,,,,,0,,,,,False,False,False,True,False,,,0,,2025-09-14 19:44:49,2025-09-14 19:44:49,,,,,Active
28,Aboafo Buying Co LTD,Aboafo Buying Co,,,,,,,,Ghana,,,,,,,,,,,,,,,,,,,Private Limited Company,Other,,,,,,,,,0,,,,,False,False,False,True,False,,,0,,2025-09-14 19:44:49,2025-09-14 19:44:49,,,,,Active
29,Aboagye,Aboagye,,,,,,,,Ghana,,,,,,,,,,,,,,,,,,,German Company,Other,,,,,,,,,0,,,,,False,False,False,True,False,,,0,,2025-09-14 19:44:49,2025-09-14 19:44:49,,,,,Active
30,Aboagye And Another,Aboagye And Another,,,,,,,,Ghana,,,,,,,,,,,,,,,,,,,German Company,Other,,,,,,,,,0,,,,,False,False,False,True,False,,,0,,2025-09-14 19:44:49,2025-09-14 19:44:49,,,,,Active
31,Aboagye Da Costa,Aboagye Da Costa,,,,,,,,Ghana,,,,,,,,,,,,,,,,,,,German Company,Other,,,,,,,,,0,,,,,False,False,False,True,False,,,0,,2025-09-14 19:44:49,2025-09-14 19:44:49,,,,,Active
32,Aboagye Frimpong,Aboagye Frimpong,,,,,,,,Ghana,,,,,,,,,,,,,,,,,,,German Company,Other,,,,,,,,,0,,,,,False,False,False,True,False,,,0,,2025-09-14 19:44:50,2025-09-14 19:44:50,,,,,Active
33,Aboso Goldfields LIMITED,Aboso Goldfields LIM,,,,,,,,Ghana,,,,,,,,,,,,,,,,,,,Private Limited Company,Mining & Energy,,,,,,,,,0,,,,,False,False,False,True,False,,,0,,2025-09-14 19:44:50,2025-09-14 19:44:50,,,,,Active
34,Aboso Goldfields LTD,Aboso Goldfields LTD,,,,,,,,Ghana,,,,,,,,,,,,,,,,,,,Private Limited Company,Mining & Energy,,,,,,,,,0,,,,,False,False,False,True,False,,,0,,2025-09-14 19:44:50,2025-09-14 19:44:50,,,,,Active
36,Abosso Goldfields LTD,Abosso Goldfields LT,,,,,,,,Ghana,,,,,,,,,,,,,,,,,,,Private Limited Company,Mining & Energy,,,,,,,,,0,,,,,False,False,False,True,False,,,0,,2025-09-14 19:44:50,2025-09-14 19:44:50,,,,,Active
37,Abraham Alias Salloum,Abraham Alias Sallou,,,,,,,,Ghana,,,,,,,,,,,,,,,,,,,French Company,Other,,,,,,,,,0,,,,,False,False,False,True,False,,,0,,2025-09-14 19:44:50,2025-09-14 19:44:50,,,,,Active
38,Abraham Tetteh Pardie And Asafoatse Guant Aduah Iv,Abraham Tetteh Pardie,,,,,,,,Ghana,,,,,,,,,,,,,,,,,,,French Company,Other,,,,,,,,,0,,,,,False,False,False,True,False,,,0,,2025-09-14 19:44:50,2025-09-14 19:44:50,,,,,Active
39,Absa,Absa,,,,,,,,Ghana,,,,,,,,,,,,,,,,,,,French Company,Other,,,,,,,,,0,,,,,False,False,False,True,False,,,0,,2025-09-14 19:44:50,2025-09-14 19:44:50,,,,,Active
40,Absa Bank Ghana LTD,Absa Bank Ghana,,,,,,,,Ghana,,,,,,,,,,,,,,,,,,,French Company,Banking & Finance,,,,,,,,,0,,,,,False,False,False,True,False,,,0,,2025-09-14 19:44:50,2025-09-14 19:44:50,,,,,Active
41,Abusalam Zenabu,Abusalam Zenabu,,,,,,,,Ghana,,,,,,,,,,,,,,,,,,,French Company,Other,,,,,,,,,0,,,,,False,False,False,True,False,,,0,,2025-09-14 19:44:50,2025-09-14 19:44:50,,,,,Active
42,Abusuapanin Asafo Adjei,Abusuapanin Asafo Ad,,,,,,,,Ghana,,,,,,,,,,,,,,,,,,,French Company,Other,,,,,,,,,0,,,,,False,False,False,True,False,,,0,,2025-09-14 19:44:50,2025-09-14 19:44:50,,,,,Active
43,Abz Klags LIMITED,Abz Klags LIMITED,,,,,,,,Ghana,,,,,,,,,,,,,,,,,,,German Company,Technology,,,,,,,,,0,,,,,False,False,False,True,False,,,0,,2025-09-14 19:44:50,2025-09-14 19:44:50,,,,,Active
44,Acapulco Beach LIMITED,Acapulco Beach LIMIT,,,,,,,,Ghana,,,,,,,,,,,,,,,,,,,Private Limited Company,Technology,,,,,,,,,0,,,,,False,False,False,True,False,,,0,,2025-09-14 19:44:50,2025-09-14 19:44:50,,,,,Active
45,Accent Financial Services LTD,Accent Financial Services,,,,,,,,Ghana,,,,,,,,,,,,,,,,,,,Private Limited Company,Other,,,,,,,,,0,,,,,False,False,False,True,False,,,0,,2025-09-14 19:44:50,2025-09-14 19:44:50,,,,,Active
46,Access Bank COMPANY,Access Bank COMPANY,,,,,,,,Ghana,,,,,,,,,,,,,,,,,,,Private Limited Company,Banking & Finance,,,,,,,,,0,,,,,False,False,False,True,False,,,0,,2025-09-14 19:44:50,2025-09-14 19:44:50,,,,,Active
47,Access Bank Company LIMITED,Access Bank Company,,,,,,,,Ghana,,,,,,,,,,,,,,,,,,,Private Limited Company,Banking & Finance,,,,,,,,,0,,,,,False,False,False,True,False,,,0,,2025-09-14 19:44:50,2025-09-14 19:44:50,,,,,Active
48,Access Bank Gh LTD,Access Bank Gh,,,,,,,,Ghana,,,,,,,,,,,,,,,,,,,Private Limited Company,Banking & Finance,,,,,,,,,0,,,,,False,False,False,True,False,,,0,,2025-09-14 19:44:50,2025-09-14 19:44:50,,,,,Active
50,Access Bank LTD,Access Bank LTD,,,,,,,,Ghana,,,,,,,,,,,,,,,,,,,Private Limited Company,Banking & Finance,,,,,,,,,0,,,,,False,False,False,True,False,,,2,2025-09-27 16:27:41.519018,2025-09-14 19:44:50,2025-09-27 16:27:41.519018,,,,,Active
51,Accra And Koiwah Investment CO,Accra And Koiwah,,,,,,,,Ghana,,,,,,,,,,,,,,,,,,,Private Limited Company,Other,,,,,,,,,0,,,,,False,False,False,True,False,,,0,,2025-09-14 19:44:50,2025-09-14 19:44:50,,,,,Active
52,Accra Breweries LTD,Accra Breweries LTD,,,,,,,,Ghana,,,,,,,,,,,,,,,,,,,Private Limited Company,Other,,,,,,,,,0,,,,,False,False,False,True,False,,,2,2025-09-14 21:06:49,2025-09-14 19:44:50,2025-09-14 21:06:49,,,,,Active
53,Accra Brewery COMPANY,Accra Brewery COMPAN,,,,,,,,Ghana,,,,,,,,,,,,,,,,,,,Private Limited Company,Other,,,,,,,,,0,,,,,False,False,False,True,False,,,0,,2025-09-14 19:44:50,2025-09-14 19:44:50,,,,,Active
54,Accra Brewery Company LTD,Accra Brewery Company,,,,,,,,Ghana,,,,,,,,,,,,,,,,,,,Private Limited Company,Other,,,,,,,,,0,,,,,False,False,False,True,False,,,0,,2025-09-14 19:44:50,2025-09-14 19:44:50,,,,,Active
55,Accra Brewery LIMITED,Accra Brewery LIMITE,,,,,,,,Ghana,,,,,,,,,,,,,,,,,,,Private Limited Company,Technology,,,,,,,,,0,,,,,False,False,False,True,False,,,0,,2025-09-14 19:44:50,2025-09-14 19:44:50,,,,,Active
56,Accra Brewery LTD,Accra Brewery LTD,,,,,,,,Ghana,,,,,,,,,,,,,,,,,,,Private Limited Company,Other,,,,,,,,,0,,,,,False,False,False,True,False,,,0,,2025-09-14 19:44:50,2025-09-14 19:44:50,,,,,Active
57,Accra City Hotels LIMITED,Accra City Hotels,,,,,,,,Ghana,,,,,,,,,,,,,,,,,,,Private Limited Company,Technology,,,,,,,,,0,,,,,False,False,False,True,False,,,0,,2025-09-14 19:44:50,2025-09-14 19:44:50,,,,,Active
58,Accra Dalex Finance & Leasing COMPANY,Accra Dalex Finance,,,,,,,,Ghana,,,,,,,,,,,,,,,,,,,Private Limited Company,Banking & Finance,,,,,,,,,0,,,,,False,False,False,True,False,,,0,,2025-09-14 19:44:50,2025-09-14 19:44:50,,,,,Active
59,Accra Dalex Finance & Leasing Company & Marina Distribution Company LTD,Accra Dalex Finance,,,,,,,,Ghana,,,,,,,,,,,,,,,,,,,Private Limited Company,Banking & Finance,,,,,,,,,0,,,,,False,False,False,True,False,,,2,2025-09-28 05:24:06.842973,2025-09-14 19:44:50,2025-09-28 05:24:06.842973,,,,,Active
60,Accra Ex Parte The Trust Bank LTD,Accra Ex Parte,,,,,,,,Ghana,,,,,,,,,,,,,,,,,,,Private Limited Company,Banking & Finance,,,,,,,,,0,,,,,False,False,False,True,False,,,0,,2025-09-14 19:44:50,2025-09-14 19:44:50,,,,,Active
61,Accra Furniture And Rubber Foam CO,Accra Furniture And,,,,,,,,Ghana,,,,,,,,,,,,,,,,,,,Private Limited Company,Technology,,,,,,,,,0,,,,,False,False,False,True,False,,,0,,2025-09-14 19:44:50,2025-09-14 19:44:50,,,,,Active
62,Accra Hearts Of Oak Sporting Club LTD,Accra Hearts Of,,,,,,,,Ghana,,,,,,,,,,,,,,,,,,,Private Limited Company,Other,,,,,,,,,0,,,,,False,False,False,True,False,,,0,,2025-09-14 19:44:50,2025-09-14 19:44:50,,,,,Active
63,Accra Regsma LIMITED,Accra Regsma LIMITED,,,,,,,,Ghana,,,,,,,,,,,,,,,,,,,Private Limited Company,Technology,,,,,,,,,0,,,,,False,False,False,True,False,,,0,,2025-09-14 19:44:50,2025-09-14 19:44:50,,,,,Active
64,Ace Cladding Systems Ghana LTD,Ace Cladding Systems,,,,,,,,Ghana,,,,,,,,,,,,,,,,,,,Private Limited Company,Other,,,,,,,,,0,,,,,False,False,False,True,False,,,0,,2025-09-14 19:44:50,2025-09-14 19:44:50,,,,,Active
65,Acheamfour GROUP,Acheamfour GROUP,,,,,,,,Ghana,,,,,,,,,,,,,,,,,,,Private Limited Company,Other,,,,,,,,,0,,,,,False,False,False,True,False,,,0,,2025-09-14 19:44:50,2025-09-14 19:44:50,,,,,Active
66,Acheamfour Group LTD,Acheamfour Group LTD,,,,,,,,Ghana,,,,,,,,,,,,,,,,,,,Private Limited Company,Other,,,,,,,,,0,,,,,False,False,False,True,False,,,0,,2025-09-14 19:44:50,2025-09-14 19:44:50,,,,,Active
67,Achimota Brewery COMPANY,Achimota Brewery COM,,,,,,,,Ghana,,,,,,,,,,,,,,,,,,,Private Limited Company,Other,,,,,,,,,0,,,,,False,False,False,True,False,,,0,,2025-09-14 19:44:50,2025-09-14 19:44:50,,,,,Active
68,Achimota Brewery Company LIMITED,Achimota Brewery Company,,,,,,,,Ghana,,,,,,,,,,,,,,,,,,,Private Limited Company,Technology,,,,,,,,,0,,,,,False,False,False,True,False,,,0,,2025-09-14 19:44:50,2025-09-14 19:44:50,,,,,Active
69,Ackah ENTERPRISE,Ackah ENTERPRISE,,,,,,,,Ghana,,,,,,,,,,,,,,,,,,,Private Limited Company,Other,,,,,,,,,0,,,,,False,False,False,True,False,,,0,,2025-09-14 19:44:50,2025-09-14 19:44:50,,,,,Active
70,Ackah Enterprise LIMITED,Ackah Enterprise LIM,,,,,,,,Ghana,,,,,,,,,,,,,,,,,,,Private Limited Company,Technology,,,,,,,,,0,,,,,False,False,False,True,False,,,0,,2025-09-14 19:44:50,2025-09-14 19:44:50,,,,,Active
71,Ackah Enterprise LTD,Ackah Enterprise LTD,,,,,,,,Ghana,,,,,,,,,,,,,,,,,,,Private Limited Company,Other,,,,,,,,,0,,,,,False,False,False,True,False,,,0,,2025-09-14 19:44:50,2025-09-14 19:44:50,,,,,Active
72,Acolatse,Acolatse,,,,,,,,Ghana,,,,,,,,,,,,,,,,,,,Private Limited Company,Other,,,,,,,,,0,,,,,False,False,False,True,False,,,0,,2025-09-14 19:44:50,2025-09-14 19:44:50,,,,,Active
73,Acolatse And Others,Acolatse And Others,,,,,,,,Ghana,,,,,,,,,,,,,,,,,,,Private Limited Company,Other,,,,,,,,,0,,,,,False,False,False,True,False,,,0,,2025-09-14 19:44:50,2025-09-14 19:44:50,,,,,Active
74,Acorn,Acorn,,,,,,,,Ghana,,,,,,,,,,,,,,,,,,,Private Limited Company,Other,,,,,,,,,0,,,,,False,False,False,True,False,,,0,,2025-09-14 19:44:50,2025-09-14 19:44:50,,,,,Active
588,Asano,Asano,,,,,,,,Ghana,,,,,,,,,,,,,,,,,,,French Company,Other,,,,,,,,,0,,,,,False,False,False,True,False,,,0,,2025-09-14 19:44:51,2025-09-14 19:44:51,,,,,Active
76,Activity Venture Finance CO,Activity Venture Finance,,,,,,,,Ghana,,,,,,,,,,,,,,,,,,,Private Limited Company,Banking & Finance,,,,,,,,,0,,,,,False,False,False,True,False,,,0,,2025-09-14 19:44:50,2025-09-14 19:44:50,,,,,Active
77,Activity Venturer Finance CO,Activity Venturer Finance,,,,,,,,Ghana,,,,,,,,,,,,,,,,,,,Private Limited Company,Banking & Finance,,,,,,,,,0,,,,,False,False,False,True,False,,,0,,2025-09-14 19:44:50,2025-09-14 19:44:50,,,,,Active
78,Ada CO,Ada CO,,,,,,,,Ghana,,,,,,,,,,,,,,,,,,,Private Limited Company,Other,,,,,,,,,0,,,,,False,False,False,True,False,,,0,,2025-09-14 19:44:50,2025-09-14 19:44:50,,,,,Active
79,Adamu Dagarti,Adamu Dagarti,,,,,,,,Ghana,,,,,,,,,,,,,,,,,,,German Company,Other,,,,,,,,,0,,,,,False,False,False,True,False,,,0,,2025-09-14 19:44:50,2025-09-14 19:44:50,,,,,Active
80,Adamus Resources LIMITED,Adamus Resources LIM,,,,,,,,Ghana,,,,,,,,,,,,,,,,,,,Private Limited Company,Technology,,,,,,,,,0,,,,,False,False,False,True,False,,,0,,2025-09-14 19:44:50,2025-09-14 19:44:50,,,,,Active
81,Adamus Resources LTD,Adamus Resources LTD,,,,,,,,Ghana,,,,,,,,,,,,,,,,,,,Private Limited Company,Other,,,,,,,,,0,,,,,False,False,False,True,False,,,0,,2025-09-14 19:44:50,2025-09-14 19:44:50,,,,,Active
82,Adansi Asaasi Mining CO,Adansi Asaasi Mining,,,,,,,,Ghana,,,,,,,,,,,,,,,,,,,French Company,Mining & Energy,,,,,,,,,0,,,,,False,False,False,True,False,,,0,,2025-09-14 19:44:50,2025-09-14 19:44:50,,,,,Active
83,Adansi Gold CO,Adansi Gold CO,,,,,,,,Ghana,,,,,,,,,,,,,,,,,,,Private Limited Company,Mining & Energy,,,,,,,,,0,,,,,False,False,False,True,False,,,0,,2025-09-14 19:44:50,2025-09-14 19:44:50,,,,,Active
84,Adansi Gold COMPANY,Adansi Gold COMPANY,,,,,,,,Ghana,,,,,,,,,,,,,,,,,,,Private Limited Company,Mining & Energy,,,,,,,,,0,,,,,False,False,False,True,False,,,0,,2025-09-14 19:44:50,2025-09-14 19:44:50,,,,,Active
85,Adansi Gold Company LIMITED,Adansi Gold Company,,,,,,,,Ghana,,,,,,,,,,,,,,,,,,,Private Limited Company,Mining & Energy,,,,,,,,,0,,,,,False,False,False,True,False,,,0,,2025-09-14 19:44:50,2025-09-14 19:44:50,,,,,Active
86,Adas Aral LIMITED,Adas Aral LIMITED,,,,,,,,Ghana,,,,,,,,,,,,,,,,,,,Private Limited Company,Technology,,,,,,,,,0,,,,,False,False,False,True,False,,,0,,2025-09-14 19:44:50,2025-09-14 19:44:50,,,,,Active
87,Addison & CO,Addison & CO,,,,,,,,Ghana,,,,,,,,,,,,,,,,,,,Private Limited Company,Other,,,,,,,,,0,,,,,False,False,False,True,False,,,0,,2025-09-14 19:44:50,2025-09-14 19:44:50,,,,,Active
88,Addo & Sons LTD,Addo & Sons,,,,,,,,Ghana,,,,,,,,,,,,,,,,,,,Private Limited Company,Other,,,,,,,,,0,,,,,False,False,False,True,False,,,0,,2025-09-14 19:44:50,2025-09-14 19:44:50,,,,,Active
89,Addo Atua & CO,Addo Atua &,,,,,,,,Ghana,,,,,,,,,,,,,,,,,,,Private Limited Company,Other,,,,,,,,,0,,,,,False,False,False,True,False,,,0,,2025-09-14 19:44:50,2025-09-14 19:44:50,,,,,Active
90,Addo Atuah & CO,Addo Atuah &,,,,,,,,Ghana,,,,,,,,,,,,,,,,,,,Private Limited Company,Other,,,,,,,,,0,,,,,False,False,False,True,False,,,0,,2025-09-14 19:44:50,2025-09-14 19:44:50,,,,,Active
91,Addy York CO,Addy York CO,,,,,,,,Ghana,,,,,,,,,,,,,,,,,,,Private Limited Company,Other,,,,,,,,,0,,,,,False,False,False,True,False,,,0,,2025-09-14 19:44:50,2025-09-14 19:44:50,,,,,Active
92,Adehyeman Gardens LTD,Adehyeman Gardens LT,,,,,,,,Ghana,,,,,,,,,,,,,,,,,,,Private Limited Company,Other,,,,,,,,,0,,,,,False,False,False,True,False,,,0,,2025-09-14 19:44:50,2025-09-14 19:44:50,,,,,Active
93,Adehyie Estates LTD,Adehyie Estates LTD,,,,,,,,Ghana,,,,,,,,,,,,,,,,,,,Private Limited Company,Other,,,,,,,,,0,,,,,False,False,False,True,False,,,0,,2025-09-14 19:44:50,2025-09-14 19:44:50,,,,,Active
94,Adisa,Adisa,,,,,,,,Ghana,,,,,,,,,,,,,,,,,,,French Company,Other,,,,,,,,,0,,,,,False,False,False,True,False,,,0,,2025-09-14 19:44:50,2025-09-14 19:44:50,,,,,Active
95,Adisa Boya,Adisa Boya,,,,,,,,Ghana,,,,,,,,,,,,,,,,,,,French Company,Other,,,,,,,,,0,,,,,False,False,False,True,False,,,0,,2025-09-14 19:44:50,2025-09-14 19:44:50,,,,,Active
96,Adisah,Adisah,,,,,,,,Ghana,,,,,,,,,,,,,,,,,,,French Company,Other,,,,,,,,,0,,,,,False,False,False,True,False,,,0,,2025-09-14 19:44:50,2025-09-14 19:44:50,,,,,Active
97,Adjewoco LIMITED,Adjewoco LIMITED,,,,,,,,Ghana,,,,,,,,,,,,,,,,,,,Private Limited Company,Technology,,,,,,,,,0,,,,,False,False,False,True,False,,,0,,2025-09-14 19:44:50,2025-09-14 19:44:50,,,,,Active
98,Adji & COMPANY,Adji & COMPANY,,,,,,,,Ghana,,,,,,,,,,,,,,,,,,,Private Limited Company,Other,,,,,,,,,0,,,,,False,False,False,True,False,,,0,,2025-09-14 19:44:50,2025-09-14 19:44:50,,,,,Active
99,Adler Steel COMPANY,Adler Steel COMPANY,,,,,,,,Ghana,,,,,,,,,,,,,,,,,,,Private Limited Company,Other,,,,,,,,,0,,,,,False,False,False,True,False,,,2,2025-09-14 20:00:22,2025-09-14 19:44:50,2025-09-14 20:00:22,,,,,Active
100,Adler Steel Company LTD,Adler Steel Company,,,,,,,,Ghana,,,,,,,,,,,,,,,,,,,Private Limited Company,Other,,,,,,,,,0,,,,,False,False,False,True,False,,,0,,2025-09-14 19:44:50,2025-09-14 19:44:50,,,,,Active
101,Adm Cocoa Ghana LIMITED,Adm Cocoa Ghana,,,,,,,,Ghana,,,,,,,,,,,,,,,,,,,Private Limited Company,Technology,,,,,,,,,0,,,,,False,False,False,True,False,,,0,,2025-09-14 19:44:50,2025-09-14 19:44:50,,,,,Active
103,Administrator For And On Behalf Of Cdl Management Ltd And Consolidated Discount,Administrator For And,,,,,,,,Ghana,,,,,,,,,,,,,,,,,,,German Company,Other,,,,,,,,,0,,,,,False,False,False,True,False,,,0,,2025-09-14 19:44:50,2025-09-14 19:44:50,,,,,Active
104,Adolf Sievers Ghana LIMITED,Adolf Sievers Ghana,,,,,,,,Ghana,,,,,,,,,,,,,,,,,,,Private Limited Company,Technology,,,,,,,,,0,,,,,False,False,False,True,False,,,0,,2025-09-14 19:44:50,2025-09-14 19:44:50,,,,,Active
105,Adom Ara Engineerng Service LTD,Adom Ara Engineerng,,,,,,,,Ghana,,,,,,,,,,,,,,,,,,,Private Limited Company,Other,,,,,,,,,0,,,,,False,False,False,True,False,,,0,,2025-09-14 19:44:50,2025-09-14 19:44:50,,,,,Active
106,Adom Micro Services LTD,Adom Micro Services,,,,,,,,Ghana,,,,,,,,,,,,,,,,,,,Private Limited Company,Other,,,,,,,,,0,,,,,False,False,False,True,False,,,0,,2025-09-14 19:44:50,2025-09-14 19:44:50,,,,,Active
107,Adonteng Community Bank LTD,Adonteng Community Bank,,,,,,,,Ghana,,,,,,,,,,,,,,,,,,,Private Limited Company,Banking & Finance,,,,,,,,,0,,,,,False,False,False,True,False,,,0,,2025-09-14 19:44:50,2025-09-14 19:44:50,,,,,Active
